Ranking,Title,Year,Runtime,IMDb,Box_Office(M)
119,Suicide Squad,2016,123,5.9,325.10
120,X-Men: Days of Future Past,2014,132,7.9,233.92
121,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,6.9,291.71
122,Monsters University,2013,104,7.2,268.49
123,The Matrix Reloaded,2003,138,7.2,281.49
124,Up,2009,96,8.3,293.00
125,Ne Zha,2019,110,7.4,3.70
126,F9: The Fast Saga,2021,143,5.2,173.20
127,Gravity,2013,91,7.7,274.09
128,Captain America: The Winter Soldier,2014,136,7.8,259.77
129,The Twilight Saga: Breaking Dawn - Part 1,2011,117,4.9,281.29
130,The Twilight Saga: New Moon,2009,130,4.7,296.62
131,Dawn of the Planet of the Apes,2014,130,7.6,208.55
132,Transformers,2007,144,7.0,319.25
133,The Amazing Spider-Man 2,2014,142,6.6,202.85
134,It,2017,135,7.3,327.48
135,The Wandering Earth,2019,125,5.9,5.88
136,The Twilight Saga: Eclipse,2010,124,5.0,300.53
137,Mission: Impossible - Ghost Protocol,2011,132,7.4,209.40
138,The Hunger Games,2012,142,7.2,408.01
139,Detective Chinatown 3,2021,136,5.6,
140,Mission: Impossible - Rogue Nation,2015,131,7.4,195.04
141,Forrest Gump,1994,142,8.8,330.25
142,Doctor Strange,2016,115,7.5,232.64
143,The Sixth Sense,1999,107,8.2,293.51
144,Man of Steel,2013,143,7.1,291.05
145,Ice Age: The Meltdown,2006,91,6.8,195.33
146,Kung Fu Panda 2,2011,90,7.2,165.25
147,Moana,2016,107,7.6,248.76
148,Justice League,2017,120,6.1,229.02
149,Big Hero 6,2014,102,7.8,222.53
150,Fantastic Beasts: The Crimes of Grindelwald,2018,134,6.5,159.56
151,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,305.41
152,Star Wars: Episode II - Attack of the Clones,2002,142,6.6,310.68
153,The Hunger Games: Mockingjay - Part 2,2015,137,6.5,281.72
154,Thor: The Dark World,2013,112,6.8,206.36
155,Sing,2016,108,7.1,270.40
156,Kung Fu Panda,2008,92,7.6,215.43
157,The Incredibles,2004,115,8.0,261.44
158,The Martian,2015,144,8.0,228.43
159,Hancock,2008,92,6.4,227.95
160,Water Gate Bridge,2022,153,5.5,
161,Fast Five,2011,130,7.3,209.84
162,Men in Black 3,2012,106,6.8,179.02
163,Iron Man 2,2010,124,6.9,312.43
164,Ratatouille,2007,111,8.1,206.45
165,Ant-Man and the Wasp,2018,118,7.0,216.65
166,How to Train Your Dragon 2,2014,102,7.8,177.00
167,Logan,2017,137,8.1,226.28
168,The Lost World: Jurassic Park,1997,129,6.5,229.09
169,Casino Royale,2006,144,8.0,167.45
170,The Passion of the Christ,2004,127,7.2,370.78
171,Mamma Mia!,2008,108,6.5,144.13
172,Life of Pi,2012,127,7.9,124.99
173,Transformers: The Last Knight,2017,154,5.2,130.17
174,Madagascar: Escape 2 Africa,2008,89,6.6,180.01
175,War of the Worlds,2005,116,6.5,234.28
176,Tangled,2010,100,7.7,200.82
177,Quantum of Solace,2008,106,6.6,168.37
178,Men in Black,1997,98,7.3,250.69
179,The Croods,2013,98,7.2,187.17
180,The Hangover Part II,2011,102,6.4,254.46
181,Iron Man,2008,126,7.9,318.41
182,I Am Legend,2007,101,7.2,256.39
183,Ready Player One,2018,140,7.4,137.69
184,"Monsters, Inc.",2001,92,8.1,289.92
185,Operation Red Sea,2018,142,6.6,1.54
186,Night at the Museum,2006,108,6.4,250.86
187,Fifty Shades of Grey,2015,125,4.1,166.17
188,Kong: Skull Island,2017,118,6.6,168.05
189,The Smurfs,2011,103,5.4,142.61
190,Cars 2,2011,106,6.2,191.45
191,King Kong,2005,187,7.2,218.08
192,Puss in Boots,2011,90,6.6,149.26
193,The Mermaid,2016,94,6.2,3.23
194,Armageddon,1998,151,6.7,201.57
195,The Day After Tomorrow,2004,124,6.4,186.74
196,Ted,2012,106,6.9,218.82
197,American Sniper,2014,133,7.3,350.13
198,Mission: Impossible II,2000,123,6.1,215.41
199,Detective Chinatown 2,2018,121,6.1,1.98
200,X-Men: Apocalypse,2016,144,6.9,155.44
